model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M1_immune_sensitive,0.96,-1.024221453287196,-17.68512110726642,0.0,40,14,289
M1_immune_sensitive,0.97,-1.4279123414071497,-23.91349480968856,0.0,40,14,289
M1_immune_sensitive,0.98,-2.069204152249133,-36.37024221453284,0.0,39,13,289
M1_immune_sensitive,0.99,-3.9861591695501692,-73.74048442906567,0.0,36,12,289
M2_msi,0.01,0.11974415434623047,0.15417147251057284,0.0,35,39,289
M2_msi,0.02,0.11856507308805875,0.145540569168844,0.0,35,36,289
M2_msi,0.03,0.11778974779723897,0.1367317090571826,0.0,35,31,289
M2_msi,0.04,0.11663783160322952,0.12773933102652824,0.0,35,31,289
M2_msi,0.05,0.11236568930977964,0.11855763977417591,0.0,34,29,289
M2_msi,0.06,0.11168372229993374,0.10918059338879482,0.0,34,27,289
M2_msi,0.07,0.11087546973248502,0.09960189009190012,0.0,34,26,289
M2_msi,0.08,0.10982398074319241,0.08981495411463818,0.0,34,26,289
M2_msi,0.09,0.1090916004410814,0.07981292064337048,0.0,34,25,289
M2_msi,0.1,0.10803537101114956,0.06958861976163014,0.0,34,25,289
M2_msi,0.11,0.10695540608841025,0.059134559309513626,0.0,34,25,289
M2_msi,0.12,0.10585089650833596,0.04844290657439447,0.0,34,25,289
M2_msi,0.13,0.10472099590343237,0.03750546871892774,0.0,34,25,289
M2_msi,0.14,0.1035648185402752,0.026313671843566422,0.0,34,25,289
M2_msi,0.15,0.09892122939141054,0.01485853857113778,0.0,33,25,289
M2_msi,0.16,0.09836875926841325,0.0031306640303180033,0.0,33,24,289
M2_msi,0.17,0.09717763788718889,-0.00887980989702758,0.0,33,24,289
M2_msi,0.18,0.09595746476495907,-0.021183222212844938,0.0,33,24,289
M2_msi,0.19,0.09470716391131616,-0.033790422487077615,0.0,33,24,289
M2_msi,0.2,0.09515570934256055,-0.046712802768166084,0.0,33,22,289
M2_msi,0.21,0.09049099908019798,-0.059962331917130185,0.0,32,22,289
M2_msi,0.22,0.08925561174696123,-0.07355159258273444,0.0,32,22,289
M2_msi,0.23,0.087988136431043,-0.08749382105783488,0.0,32,22,289
M2_msi,0.24,0.08668730650154799,-0.10180295028228009,0.0,32,22,289
M2_msi,0.25,0.08535178777393311,-0.1164936562860438,0.0,32,22,289
M2_msi,0.26,0.08398017394557188,-0.1315814083980174,0.0,32,22,289
M2_msi,0.27,0.08257098165615964,-0.14708252358155188,0.0,32,22,289
M2_msi,0.28,0.08246828143021914,-0.16301422529796233,0.0,32,21,289
M2_msi,0.29,0.08104683464106438,-0.17939470734441249,0.0,32,21,289
M2_msi,0.3,0.07958477508650519,-0.19624320316361837,0.0,32,21,289
M2_msi,0.31,0.07808033699413269,-0.21358006118048245,0.0,32,21,289
M2_msi,0.32,0.07653165072257276,-0.2314268267860778,0.0,32,21,289
M2_msi,0.33,0.07493673501007075,-0.24980633166348193,0.0,32,21,289
M2_msi,0.34,0.073293488518402,-0.2687427912341408,0.0,32,21,289
M2_msi,0.35,0.07346286931062018,-0.2882619110992813,0.0,32,20,289
M2_msi,0.36,0.07374567474048443,-0.3083910034602076,0.0,32,19,289
M2_msi,0.37,0.07211512055802713,-0.32915911462624264,0.0,32,19,289
M2_msi,0.38,0.0704319678535551,-0.3505971648621498,0.0,32,19,289
M2_msi,0.39,0.06869362981451019,-0.37273810199103746,0.0,32,19,289
M2_msi,0.4,0.06689734717416379,-0.39561707035755483,0.0,32,19,289
M2_msi,0.41,0.061579965984399763,-0.4192715969737843,0.0,31,19,289
M2_msi,0.42,0.05965875193890945,-0.44374179692160826,0.0,31,19,289
M2_msi,0.43,0.06028045893279914,-0.4690706003763733,0.0,31,18,289
M2_msi,0.44,0.05832921403855661,-0.49530400395452295,0.0,31,18,289
